Trial,Target Direction,Visuo Motor Rotation Angle,Start Area Position X
1,75,0,0
2,60,0,0
3,105,0,0
4,120,0,0
9,120,20,0
10,60,20,0
11,105,20,0
12,75,20,0
13,105,20,0
14,120,20,0
15,60,20,0
16,75,20,0
17,60,20,0
18,105,20,0
19,120,20,0
20,75,20,0
21,60,20,0
22,75,20,0
23,120,20,0
24,105,20,0
25,120,20,0
26,60,20,0
27,105,20,0
28,75,20,0
29,105,20,0
30,120,20,0
31,60,20,0
32,75,20,0
33,60,20,0
34,105,20,0
35,120,20,0
36,75,20,0
37,60,20,0
38,75,20,0
39,120,20,0
40,105,20,0
41,60,20,0
42,105,20,0
43,120,20,0
44,75,20,0
45,60,20,0
46,75,20,0
47,120,20,0
48,105,20,0
49,75,0,0
50,60,0,0
51,105,0,0
52,120,0,0
53,60,0,0
54,75,0,0
55,105,0,0
56,120,0,0
